dirty_lines,clean_lines
Studying the role of rice endogenous miRNA that involved in rice and rice blast interaction is of a great significance for rice breeding and disease control.,Endogenous rice micro RNAs (miRNAs) hold potential for the improvement of breeding efforts-- particularly in the case of disease resistance.
" In the previous study, we identified a series of miRNAs that participate in resistance to rice blast by comparing the rice miRNA expression pattern between resistant material and sensitive material after infected Magnaporthe oryzae."," Previously, we identified a series of miRNAs that influence resistance to  the rice blast pathogen Magnaporthe oryzae by comparing the rice miRNA expression pattern between resistant  and susceptible cultivars after infection."
 We found that expression pattern of miR167d was greatly affected by <SPECIES>., We found that expression pattern of miR167d was significantly affected[1] by <SPECIES>.
" According to the previous study, miR167d is belong to a conserved microRNA (miRNA) family that involved in plant growth and develop."," According to the previous study, miR167d belongs to a conserved miRNA family that is involved in plant growth and development."
" Nevertheless, the role of miR167d in rice immunity is still unknown."," Nevertheless, the role of this miRNA in rice disease resistance has yet to be explored."
" Here, we show that miR167d acts as a negative regulator in rice and rice blast interaction and repress rice immunity against the rice blast by repressed its target gene expression."," Here, we show that miR167d acts as a negative regulator of rice immunity against <SPECIES> by repressing the expression of its target gene the host."
" The expression of miR167d was significantly suppress in a resistant material, meanwhile, overexpression miR167d became more susceptible to different rice blast strains and accompanied down-regulation expression of resistance genes.", Upon infection.
" Including its target genes, auxin responsive factors (ARFs) and predicted resistance (R) protein gene were also reduced expression by overexpression of miR167d at transcriptional and translational level.", the expression of miR167d in resistant cultivars was significantly less than in susceptible cultivars.
" In contrary, overexpression its target mimicry that act as a repressor of miR167d led to more resistance to rice blast."," Meanwhile, the overexpression of miR167d induced susceptibility to several rice blast strains and, accompanied the down-regulation of resistance gene expression at both the transcriptional and translational level."
" Moreover, all the target gene of miR167d were differently higher expression in the transgenic lines of MIM167d and resistant material.", Those downregulated genes included auxin responsive factors (ARFs) and predicted resistance (R) proteins.
" Taken together, our result demonstrate that miR167d worked as a negatively regulator in rice immunity against <SPECIES> by differently down regulate its target genes."," By contrast, overexpression of a miR167d repressor mimic led to improved resistance to rice blast."
"Rice (Oryza sative L.) is one of the staple food grain for more than half of the population in the word (Khush, 2005; Liu et al., 2013; Liu et al., 2014)."," Moreover, all the target genes of miR167d were significantly increased in  expression in both the transgenic  MIM167d (repressor mimic) lines and resistant cultivars."
 Rice blast is one of destructive disease for rice production that caused by the fungal pathogen <SPECIES>.," Together, our results demonstrate that miR167d works as a negative regulator of rice resistance against <SPECIES> by down regulating host genes."
" As in the following, rice and rice blast interaction has already become a model for plant disease system in study of plant and fungi interaction (Liu and Wang, 2016).","Rice (Oryza sative L.) is a staple food for more than half of the world population(Khush, 2005; Liu et al., 2013; Liu et al., 2014)."
